LSAT,GPA,Race,resident,college,Year,Gender,admit,Black,Hispanic,Asian,White,MissingRace,URM
144,3.7,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
150,4,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
143,3.04,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
158,3.69,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
145,1.85, ,1,Arizona State,2006,0,0,0,0,0,0,1,0
160,3.97,White,1,Arizona State,2006,0,1,0,0,0,1,0,0
166,3.8,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
157,3.85, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
158,3.36,Hispanic,0,Arizona State,2006,1,1,0,1,0,0,0,1
155,3.44, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
159,3.43,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
155,3.33,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
156,3.11,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
160,3.24,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
167,3.74,White,1,Arizona State,2006,0,1,0,0,0,1,0,0
149,3.12,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
151,3.19,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
155,3.29,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
148,3.8,Asian,1,Arizona State,2006,1,0,0,0,1,0,0,0
149,3.69, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
151,3.05, ,0,Arizona State,2006,1,1,0,0,0,0,1,0
160,3.63,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
158,2.7,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.3,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,2.13, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
150,3.35,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
165,3.23,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
157,3.37,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
165,3.77,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
159,3.44,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.48,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.42,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
150,3.21,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
147,3.23,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,3.02,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,3.26,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
158,3.26,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
163,3.37,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
146,3.64,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
151,3.42,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
145,3.53, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
146,3.01, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
173,3.88,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
156,2.81, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
153,3.19,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
149,3.59,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
158,2.77,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
166,3.97,White,1,Arizona State,2006,0,1,0,0,0,1,0,0
144,3.04,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
158,3.83, ,1,Arizona State,2006,1,1,0,0,0,0,1,0
163,3.74,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
161,2.69,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
153,3.08,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
135,2.72,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
165,2.64,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
143,3.5,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
160,3.67,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
154,3.5,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.44,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.51,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
144,3.89,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
165,3,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
155,3.23,Asian,1,Arizona State,2006,0,0,0,0,1,0,0,0
147,3.32,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
157,3.56,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,3.6,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
156,3.52, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
149,2.56,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
146,2.7, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
161,3.4,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
137,3.45,Hispanic,1,Arizona State,2006,0,0,0,1,0,0,0,1
152,3.89,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
158,3.28,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.85,Asian,0,Arizona State,2006,0,1,0,0,1,0,0,0
148,3.29,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.34,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,2.86, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
167,2.56,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.93,Hispanic,1,Arizona State,2006,0,1,0,1,0,0,0,1
150,3.93,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,3.72,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
165,4,Hispanic,0,Arizona State,2006,0,1,0,1,0,0,0,1
163,3.62,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
162,3.42,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
158,2.56,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
155,3.03,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.22, ,0,Arizona State,2006,1,1,0,0,0,0,1,0
158,3.37, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
158,2.79, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
138,2,Black,0,Arizona State,2006,1,0,1,0,0,0,0,1
155,2.58,Black,0,Arizona State,2006,1,0,1,0,0,0,0,1
167,3.05,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
158,3.23,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.86, ,0,Arizona State,2006,1,1,0,0,0,0,1,0
156,4.17,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
154,2.46,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
154,3.65,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
153,4.05,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
143,2.34, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
157,3.6, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
158,3.98,Asian,0,Arizona State,2006,0,1,0,0,1,0,0,0
150,3.57,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.12,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
144,3.02,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
158,3.4,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
142,2.82,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
159,3.42,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,3.38, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
172,3.24,White,1,Arizona State,2006,1,1,0,0,0,1,0,0
158,3.29,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.02,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,3.58,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
156,3.29,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
158,2.58,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
150,2.71,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
153,3.65,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
144,3.12,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,2.42,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
158,3.33,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,2.69,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,3.27,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
151,3.07,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.93,White,1,Arizona State,2006,1,1,0,0,0,1,0,0
154,2.18, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
149,3.44,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
157,3.28,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
141,3.07,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
160,3.27,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
154,3.54, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
152,2.71, ,1,Arizona State,2006,1,0,0,0,0,0,1,0
162,3.24,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.26,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,3.04,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
156,3.42,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.4,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
151,3.37,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,2.62,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.5, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
159,2.26,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
154,3.77,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
148,3.58,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
168,2.72,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,2.25,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
153,2.82,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.41,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
148,3.33,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
157,2.7,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.7,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
158,3.38,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
163,3.68,Hispanic,1,Arizona State,2006,0,1,0,1,0,0,0,1
150,3.91,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
162,3.7,White,1,Arizona State,2006,0,1,0,0,0,1,0,0
147,2.05, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
149,2.76, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
157,3.69,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
138,3.49,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.86,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
151,3.37,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.65,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
151,3.03,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
160,4,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
159,3.55,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
151,3.77,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
148,3.69,Hispanic,0,Arizona State,2006,0,1,0,1,0,0,0,1
168,3.49,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
163,3.43,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
159,3.38,Hispanic,0,Arizona State,2006,0,1,0,1,0,0,0,1
160,2.84,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,2.76, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
145,3.23,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
155,3.58,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.69,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
147,2.93,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
155,3.13,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,2.67,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
157,3.4,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,3.81, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
158,3.08, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
163,3.43, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
133,2.9,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
152,3.68,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,3.43,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
155,2.65,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.16,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,3.64, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
155,3.07,White,1,Arizona State,2006,1,0,0,0,0,1,0,0
151,3.8, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
153,2.98,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
146,2.98,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
146,3.86,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
132,2.93,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
151,3.14,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
146,2.81, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
159,3.46,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
149,2.91,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
147,3.54,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
159,3.17,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
143,3.01,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,2.96,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
150,2.82,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
161,2.86, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
166,3.46, ,1,Arizona State,2006,1,1,0,0,0,0,1,0
156,2.72,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
161,3,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
143,3.06,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
159,3.56,Hispanic,0,Arizona State,2006,0,1,0,1,0,0,0,1
160,3.2,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
159,3.28,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,3.6,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
150,3.15,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
162,3.08, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
154,3.51,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
135,2.57, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
141,2.46,Black,0,Arizona State,2006,1,0,1,0,0,0,0,1
155,3.55, ,0,Arizona State,2006,0,1,0,0,0,0,1,0
147,3.59,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
161,3.43, ,0,Arizona State,2006,1,1,0,0,0,0,1,0
144,3.49,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
157,3.74,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.1,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
152,3.31,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
146,2.62,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
159,3.33,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.39,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
147,3.34,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
158,3.41,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
172,3.75,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
158,3.21,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
150,3.26,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.12, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
159,3.07,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
178,3.95,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
161,2.82,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.6, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
168,3.87,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
151,3.36,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
140,3.78,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
153,3.47,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
162,3.7,Asian,0,Arizona State,2006,0,1,0,0,1,0,0,0
165,3.91,Hispanic,1,Arizona State,2006,1,1,0,1,0,0,0,1
166,3.55,Asian,0,Arizona State,2006,1,1,0,0,1,0,0,0
162,3.81,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
155,3.73,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
156,3.8, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
164,3.99,White,1,Arizona State,2006,0,1,0,0,0,1,0,0
166,2.23,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.16,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
149,2.16,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
153,3.79, ,1,Arizona State,2006,1,1,0,0,0,0,1,0
156,3.73,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
157,3.43,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
159,3.11, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
157,2.66,Hispanic,0,Arizona State,2006,1,0,0,1,0,0,0,1
159,3.64,White,1,Arizona State,2006,1,1,0,0,0,1,0,0
154,3.72,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
154,2.49,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
160,3.57,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
155,3.18,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
146,2.7,Black,1,Arizona State,2006,1,0,1,0,0,0,0,1
153,3.02, ,0,Arizona State,2006,0,0,0,0,0,0,1,0
159,3.35,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
156,3.59,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
145,3.19,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
152,2.7,Hispanic,1,Arizona State,2006,0,0,0,1,0,0,0,1
159,3.56,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
157,2.68,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
152,3.01,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
149,2.87, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
161,3.23,White,1,Arizona State,2006,1,1,0,0,0,1,0,0
162,3.78,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
159,3.42,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
162,3.81,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
151,3.1,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
141,3.62,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
157,3.75, ,0,Arizona State,2006,1,0,0,0,0,0,1,0
153,3.12,Black,0,Arizona State,2006,0,1,1,0,0,0,0,1
157,3.37,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
163,3.53,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
161,3.15,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
153,2.95,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
160,3.65,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
136,3.86,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
152,2.62,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
155,3.55,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
147,3.15,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
149,3.76,White,0,Arizona State,2006,1,0,0,0,0,1,0,0
159,3.53,Asian,0,Arizona State,2006,0,0,0,0,1,0,0,0
150,2.74,Black,0,Arizona State,2006,0,0,1,0,0,0,0,1
147,2.35,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
166,3.74,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
136,2.42,Hispanic,0,Arizona State,2006,0,0,0,1,0,0,0,1
155,3.71,White,0,Arizona State,2006,0,0,0,0,0,1,0,0
162,3.21,White,0,Arizona State,2006,1,1,0,0,0,1,0,0
143,2.17,White,1,Arizona State,2006,0,0,0,0,0,1,0,0
141,2.11,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
152,3.59,Hispanic,1,Arizona State,2006,0,0,0,1,0,0,0,1
162,3.78,White,0,Arizona State,2006,0,1,0,0,0,1,0,0
156,2.76,Asian,0,Arizona State,2006,1,0,0,0,1,0,0,0
